AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
01148BP   ;12/10/2012;2;9;I;5;1006,25;506,25;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;09/09/2012;22527_PRCH;22527;I;1;1002,2551;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;28/09/2012;2;9;M;2;1000;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;27/11/2012;2;9;I;3;1000;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;12/12/2012;2;9;N;1;1000;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;26/12/2012;2;9;N;2;1000;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;23/09/2012;3;8;I;6;1000;2850;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;19/10/2012;46;5;I;2;1000;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;27/10/2012;2;9;I;19;977;563;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;29/12/2012;22527_PRCH;22527;I;4;950;0;Poker;;;;;;;;;;;;;;;;
01196ZZ   ;06/12/2012;22512_XFER;22512;I;12;950;1440;Vegas;;;;;;;;;;;;;;;;
01152SJ   ;14/09/2012;22528_PRCH;22528;I;10;933,8098;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;30/10/2012;2;9;I;4;912,5;3143,75;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;20/11/2012;635;0;I;178;907;681,8;Games;;;;;;;;;;;;;;;;
00C017    ;30/11/2012;22527_PRCH;22527;I;7;900;0;Poker;;;;;;;;;;;;;;;;
00J381    ;16/09/2012;2;9;M;4;900;900;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;18/10/2012;2;9;N;3;900;1050;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;21/10/2012;2;9;M;2;900;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;04/12/2012;2;9;M;3;900;750;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;07/12/2012;22527_PRCH;22527;I;1;870,0242;0;Poker;;;;;;;;;;;;;;;;
00C017    ;25/11/2012;22527_PRCH;22527;I;2;870;0;Poker;;;;;;;;;;;;;;;;
00J381    ;28/09/2012;2;9;M;6;863,13;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;26/09/2012;22528_PRCH;22528;I;3;859,7509;0;Casino;;;;;;;;;;;;;;;;
00J381    ;28/12/2012;323;9;M;3;856,25;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;28/11/2012;22527_PRCH;22527;I;3;855;0;Poker;;;;;;;;;;;;;;;;
01284UW   ;22/12/2012;1;5;I;53;840;376,79;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;14/11/2012;2;9;I;4;837,5;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;28/09/2012;2;9;N;2;825;1312,5;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;30/12/2012;22527_PRCH;22527;I;2;824,8574;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;14/09/2012;2;9;M;2;818;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;24/09/2012;22512_XFER;22512;I;408;814,8;689;Vegas;;;;;;;;;;;;;;;;
01284UW   ;31/10/2012;36;5;I;5;810;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;27/12/2012;22527_PRCH;22527;I;1;806,0617;0;Poker;;;;;;;;;;;;;;;;
00C017    ;24/11/2012;22527_PRCH;22527;I;3;800;0;Poker;;;;;;;;;;;;;;;;
00C017    ;15/12/2012;22527_PRCH;22527;I;3;800;0;Poker;;;;;;;;;;;;;;;;
00J381    ;09/09/2012;2;9;N;4;800;1127,38;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;24/11/2012;2;9;N;2;800;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;30/11/2012;2;9;M;2;800;1150;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;14/11/2012;635;0;I;131;785,5;575,95;Games;;;;;;;;;;;;;;;;
01284UW   ;02/12/2012;46;5;I;23;784,5;635,85;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;27/12/2012;323;9;M;3;780;1056,25;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;29/09/2012;3;8;I;7;775;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;26/09/2012;22527_PRCH;22527;I;15;770,9384;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;06/12/2012;22528_PRCH;22528;I;1;756,3808;0;Casino;;;;;;;;;;;;;;;;
00J381    ;15/09/2012;323;9;M;3;751,65;748,87;Sportsbook;;;;;;;;;;;;;;;;
